aria_label,thumbnail_hrefs,link_hrefs
"European Commission,  A more accessible and inclusive  Europe.  This week, the European Parliament and the EU countries in the Council agreed to introduce the European Disability Card and an improved European Parking Card for persons with disabilities.  The European Disability Card will serve as recognised proof of disability in the EU.  The Enhanced European Parking Card will ensure uniform parking rights across EU countries.  Learn more. → https://europa.eu/!cw6RCV  #UnionOfEquality, Feb 10, 01:30 PM, EU_Commission@social.network.europa.eu",https://social.network.europa.eu/system/media_attachments/files/111/903/907/137/242/157/original/686a712e4255a543.jpeg,
"Project Gutenberg, German physicist Wilhelm Röntgen died #OTD in 1923.Nobel Prize in Physics won for his discovery of the remarkable rays subsequently named after him. In November 8, 1895, he found that, if the discharge tube is enclosed in a sealed, thick black carton to exclude all light, and if he worked in a dark room, a paper plate covered on one side with barium platinocyanide placed in the path of the rays became fluorescent even when it was as far as two metres from the discharge tube.#physics #science, Feb 10, 03:59 PM, gutenberg_org","https://files.mastodon.social/media_attachments/files/111/906/799/608/523/933/original/97807cf78427654f.jpg,https://files.mastodon.social/media_attachments/files/111/906/802/533/139/889/original/ccb4cec1bdb54331.jpg",
"Katy Swain, The ""Takei number"" is the number of people you have to follow on the #Fediverse before you get everything @georgetakei posts just from boosts, without having to subscribe to him., Feb 10, 11:24 AM, katyswain",,
"Sven :8bit_mario2:, First laughing moment of the day. #LotR #Funny, Feb 10, 02:45 PM, Sven@mstdn.games",https://cdn.masto.host/mstdngames/media_attachments/files/111/906/537/931/842/108/original/666a6da4179a8226.webp,
"Carl T. Bergstrom, ""Cognitively speaking, we metabolize mistakes.""I've been reading William Wimsatt and he expresses a core component of my teaching philosophy better than I ever managed., Feb 10, 10:43 AM, ct_bergstrom@fediscience.org",https://fediscience.org/system/media_attachments/files/111/905/591/563/401/849/original/0da1779eea965bd0.png,
"Stefan Eissing, (via https://otakugangsta.com/post/741863908930977792), Feb 10, 12:42 PM, icing@chaos.social",https://assets.chaos.social/media_attachments/files/111/906/057/099/445/492/original/199ef26c7143aa44.jpeg,
"Kees van der Leun, The Netherlands added a record 2.9 GW of wind power in 2023! 11.6 GW now capable of producing almost 40 TWh/year, that's more than 1/3 of our national electricity demand. By Bosch and Van Rijn, Feb 10, 02:16 PM, Sustainable2050@mastodon.energy",https://sfo3.digitaloceanspaces.com/cdn.mastodon.energy/media_attachments/files/111/906/424/850/778/978/original/e3d6d95e3fd46666.jpg,
"Charlotte Clymer, , Feb 10, 05:19 AM, charlotteclymer",https://files.mastodon.social/media_attachments/files/111/904/318/388/664/341/original/89582baf2b2183e8.png,
"Rita, #Caturday#Cats #CatsOfMastodon, Feb 10, 01:56 PM, ritawho",https://files.mastodon.social/media_attachments/files/111/906/341/637/952/023/original/9e477ccf755349f7.jpg,
"David Ho, Happy year of the dragon to all who celebrate! , Feb 10, 12:53 PM, davidho@mastodon.world",,
"PositivDenken 🤯, Epic camp spot. Only got there because I thought I’m being chased by a pack of wolves. Vålådalen, Sweden, September 2021. #hiking #outdoors, Feb 10, 02:05 PM, zeank",https://files.mastodon.social/media_attachments/files/111/906/367/469/447/531/original/f3aaeca10523c605.jpeg,
"HarriettMB., Surely this story focuses on the wrong aspect?  The IDF soldiers are so emboldened in their warcrimes they have no problem showing the world what they are doing. Instead of getting all prissy about the video, those soldiers and the army and powers over them should be sanctioned, and brought before The Hague for war crimes.  It’s like saying no one should see the photographs of the victims of the Holocaust because ‘dignity/privacy’. #WarCrimes #Gaza #Genocide https://www.bbc.co.uk/news/world-middle-east-68249962, Feb 10, 03:41 PM, harriettmb@mastodon.ie",,https://www.bbc.co.uk/news/world-middle-east-68249962
"Extinction Rebellion Global, ""The impacts of the AMOC’s collapse could be catastrophic. Some parts of Europe might see temperatures plunge by up to 30°C over a century, the study finds, leading to a completely different climate over the course of just a decade or two.""https://edition.cnn.com/2024/02/09/climate/atlantic-circulation-collapse-weather-climate/index.html, Feb 10, 12:00 PM, ExtinctionR@social.rebellion.global",https://social.rebellion.global/system/media_attachments/files/111/905/894/096/782/905/original/679f7a0f5d8e239b.webp,
"Frankie ✅, #tucker #TuckerCarlson #putin #politics #Gop #gopcult, Feb 10, 03:47 PM, Some_Emo_Chick",https://files.mastodon.social/media_attachments/files/111/906/782/220/609/216/original/2af5ba661bf4cf5e.webp,
"Radical Graffiti, ""Why don't you care about the Palestinian genocide?""Seen on Berlin, Feb 10, 03:01 PM, RadicalGraffiti@todon.eu",https://todon.eu/system/media_attachments/files/111/906/604/752/876/089/original/45be72f33e0be944.jpg,
"Peter du Toit, Policymakers: ""OMG we have to reduce road transport emissions!""How could we possibly do this?Well(Btw if these 1/3 did WFH 3 days per week, we would avoid burning around 500,000 barrels of oil PER DAY)We have the solutions we just need to use them!#ClimateCrisis #ClimateLiteracy #RoadTransport, Feb 10, 02:36 PM, peterdutoit@mastodon.green",https://files.mastodon.green/media_attachments/files/111/906/502/938/729/640/original/2a9456074f85ee4f.jpeg,
":verified_kirby:⁩ 🍉, okay WHO of you, Feb 10, 03:32 PM, sk@catcatnya.com",https://cdn.catcatnya.com/media_attachments/files/111/906/724/715/751/292/original/6503f1e553647327.jpg,
"Jacques, #urbanphotography #blackandwhitephotography #monochromephotography #urban #blackandwhite #monochrome #photography #darktable, Feb 10, 03:07 PM, Jade_NL",https://files.mastodon.social/media_attachments/files/111/906/626/494/407/485/original/acc9b8d84f4f3c90.jpg,
"Ulrike Franke, Breaking my Mastodon boycott for this article which really should be widely read.And no paywall so go annoy someone else.https://warontherocks.com/2024/02/automation-does-not-lead-to-leaner-land-forces/?__s=dwmbzkw8tpme6crapuvp, Feb 10, 01:07 PM, rikefranke@bagarrosphere.fr",,https://warontherocks.com/2024/02/automation-does-not-lead-to-leaner-land-forces/?__s=dwmbzkw8tpme6crapuvp
"myrmepropagandist, My husband has been complaining about how, ever since I told him how much the feeder roaches love fresh vegetables, and how I feel bad about feeding them to the ants because they are just gentle little herbivores who like to hide and nibble bee pollen ... he's just not been able to look at roaches in the same way. ""I can't just hate them anymore.""The way we see a living thing can change of we can imagine the inner-life of that being. 1/, Feb 10, 02:47 PM, futurebird@sauropods.win",,
"Bart Veldhuizen  🚀, Our cat ‘Mouse’ is such a dork #catsofmastodon #caturday, Feb 10, 02:58 PM, BartV",https://files.mastodon.social/media_attachments/files/111/906/592/569/725/104/original/f8a9f4c3b29544ea.jpeg,
"mcc, In UI circles you sometimes see a (usually derogatory) label of ""hover tunnel"" given to a UI widget, like a clickless contextual menu, which requires you hover over an element then continue to hover over specific elements in order to keep the widget active. I would like to propose the term ""Reverse Hover Tunnel"" for the current YouTube front page, where you must move the mouse in strict and meticulous paths to avoid it beginning to autoplay random crap, possibly forever showing it as 10% watched, Feb 10, 05:46 AM, mcc",https://files.mastodon.social/media_attachments/files/111/904/421/178/586/460/original/71adf33222efc712.png,
"Antoinne Sterk, Go Left#Mosstodon #Photography #Nature, Feb 10, 03:02 PM, antoinnesterk@cyberplace.social",https://cyberplace.social/system/media_attachments/files/111/906/609/784/105/402/original/9f4ffdde814cdae7.jpg,
"pixelfed,  Hello v0.11.11!Now available, please update ASAP as this release contains a security bug fix!https://github.com/pixelfed/pixelfed/releases(Thanks to @thisismissem for reporting and helping to fix a security related issue)#pixelfed, Feb 10, 09:04 AM, pixelfed",,https://github.com/pixelfed/pixelfed/releases
"Anarchist Quotes, The most improper job of any man is bossing other men. Not one in a million is fit for it, and least of all those who seek the opportunity.		-- J. R. R. Tolkien#anarchism #quote #bot, Feb 10, 02:00 PM, anarchistquotes@todon.eu",,
"LAUREN, Heh, Feb 10, 08:23 AM, noondlyt",https://files.mastodon.social/media_attachments/files/111/905/037/201/769/485/original/9363198ca6bdbdbb.jpeg,
"Preston Werner, When I was a kid, and even into adulthood, I wondered how people could live in places where, down the street (figuratively or literally), horrors were being committed. How could they get out of bed? How could they go to work? How could they go to birthday parties and social occasions, dancing and singing while thousands of innocent people were being killed not 100 kilometers away? Isn't this a horrible complicity that reflects a deep moral failure?I was reminded of this recently, reading a review of The Zone of Interest, https://jacobin.com/2024/02/zone-of-interest-holocaust-film And here I am, living in Jerusalem, teaching classes, sipping coffee with friends, going to see movies, while the siege on Gaza continues. It isn't that I don't feel guilty. It isn't that I'm not in shock and grief about the images and stories I read every day. But I feel so helpless, and I am scared to speak my mind for seemingly no benefit and only great social cost, and at some point that sense of helplessness became psychological distancing. I don't want to think this is cowardice, but I really don't know. Maybe it is. I wish I were stronger, I wish I felt like I could do something, but I don't. I hope some day in the future I am able to articulate what this has been like to go through. For now I don't have the words, except to say that I'm sorry. I don't even know for what right now, but I'm sorry. #israel #Palestine #gaza #alienation, Feb 10, 03:03 PM, pjw@fediphilosophy.org",,https://jacobin.com/2024/02/zone-of-interest-holocaust-film
"AggyAnubis 🌱🐾 𓃠𓃟 Ⓥ 𓄿𓎵𓎵𓆄𓆄🌱, #goVegan , Feb 10, 02:02 PM, aggyanubis",https://files.mastodon.social/media_attachments/files/111/906/365/784/947/289/original/0adac99ecc5c2a50.png,
"Dgar, Don’t take life too seriously.No one gets out alive., Feb 10, 02:20 PM, dgar@aus.social",,
"Arrêt sur images, [GRATUIT] L'Assemblée nationale a adopté un amendement modifiant la loi sur la liberté de la presse de 1881 en faisant passer la prescription pour affaires d'injure publique ou de diffamation de 3 mois à 1 an, mais... seulement pour les élus.https://www.arretsurimages.net/chroniques/sur-le-gril/diffamation-les-deputes-soctroient-du-rab-aux-depens-de-la-presse, Feb 10, 03:35 PM, arretsurimages@mamot.fr",,https://www.arretsurimages.net/chroniques/sur-le-gril/diffamation-les-deputes-soctroient-du-rab-aux-depens-de-la-presse
"Profane tmesis, David Attenborough: And here we see the bonding ritual of the modern human. Each recommends to the other a ""podcast"" that they enjoy.Neither will take up the other's recommendation, or even consider it. This is something both are well aware of. Why this ritual exists, and what it is meant to accomplish, is something that still puzzles scientists to this day., Feb 10, 12:13 PM, ptmesis@writing.exchange",,
"tante, Newsletter sind ein Scam, um Menschen, die einfach nur ein Blog bräuchten, in geschlossene Plattformen und ihre Verwertungslogik zu sperren.https://systemli.social/@anneroth/111906828114993800, Feb 10, 04:02 PM, tante@tldr.nettime.org",,https://systemli.social/@anneroth/111906828114993800
"DeRochier, Apollo appears to be lobbying for a #Caturday bath. #Cats #CatsOfMastodon, Feb 10, 12:14 PM, DeRochier",https://files.mastodon.social/media_attachments/files/111/905/948/607/896/223/original/7d9c42a4d8b7f829.jpeg,
"Ars Technica, Canada vows to ban Flipper Zero device in crackdown on car theftHow do you ban a device built with open source hardware and software anyway?https://arstechnica.com/security/2024/02/canada-vows-to-ban-flipper-zero-device-in-crackdown-on-car-theft/?utm_brand=arstechnica&utm_social-type=owned&utm_source=mastodon&utm_medium=social, Feb 10, 06:30 AM, arstechnica",https://files.mastodon.social/media_attachments/files/111/904/597/270/291/459/original/e17acd4c357937cd.jpg,
"Vladimir Savić, #TomGauld's tips on how to protect your local library from cuts #cartoon [Cartoon: https://www.theguardian.com/books/picture/2024/feb/10/tom-gaulds-tips-on-how-to-protect-your-local-library-from-cuts-cartoon], Feb 10, 02:31 PM, firusvg",https://files.mastodon.social/media_attachments/files/111/906/421/621/561/016/original/634a3a2c8a463ed0.png,
"The Japan Times, Japan and the rest of the world on reacted with an outpouring of grief and tributes after the death of famed Japanese conductor Seiji Ozawa, with some hailing him as a ""magician of classical music."" https://www.japantimes.co.jp/culture/2024/02/10/music/world-mourns-seiji-ozawa/  #culture #music #seijiozawa, Feb 10, 10:45 AM, thejapantimes",,https://www.japantimes.co.jp/culture/2024/02/10/music/world-mourns-seiji-ozawa/
"Juggling With Eggs, For too long it has felt that the far right can say whatever they please in the name of ‘free speech’. It’s corrosive, abusive and distorts science. It muddies the water and creates deathly delay.$1 million in damages is too little too late. But it’s a start.https://www.theguardian.com/environment/2024/feb/09/us-climate-scientist-michael-mann-wins-1m-in-defamation-lawsuit, Feb 10, 03:39 PM, JugglingWithEggs@mstdn.social",,https://www.theguardian.com/environment/2024/feb/09/us-climate-scientist-michael-mann-wins-1m-in-defamation-lawsuit
"Nadia Al-Belushi, MD 🔭🌌🪐, #Putin's interview was beyond embarrassing, to be honest. Basically his entire argument is that #Ukraine historically belonged to #Russia. By his own logic, Russia and Ukraine should both be part of Iran because the ancient Scythians (an Iranic people) lived there thousands of years ago, long before the arrival of the Slavic peoples.This is exactly why I hope we erase natl borders one day and become one global federation. This planet doesn't belong to anyone. We're just guests here.#News, Feb 10, 06:33 AM, nadiaalbelushi",https://files.mastodon.social/media_attachments/files/111/904/592/913/752/333/original/e9a98cdda0a2cab4.png,
"Fesshole 🧻, Just spent 90 mins on a train with the most annoying couple next to me: noisy, spilling food, downright unpleasant. They dashed off the train at Peterborough. I could have told them they'd left their suitcase behind, but didn't. It's now heading for London. Not sorry, Feb 10, 03:25 PM, fesshole",,
"Robbie Rowe, “I hope this verdict sends a message that falsely attacking climate scientists is not protected speech,” Mann said.A rare win in the battle of truth vs bullshit#climatechange #ClimateDiary #GlobalWarming US climate scientist Michael Mann wins $1m in defamation lawsuit https://www.theguardian.com/environment/2024/feb/09/us-climate-scientist-michael-mann-wins-1m-in-defamation-lawsuit?CMP=Share_AndroidApp_Other, Feb 10, 02:17 PM, privateshufti",,https://www.theguardian.com/environment/2024/feb/09/us-climate-scientist-michael-mann-wins-1m-in-defamation-lawsuit?CMP=Share_AndroidApp_Other
"GrrlScientist ⧖ Ⓥ :verified:, terrifying readingAMOC WILL COLLAPSE AS EARLY AS MID CENTURYAtlantic Meridional Overturning circulation (AMOC) or Great Ocean Conveyer is slowing & will abruptly collapse in just decades--high confidence study.#ClimateCrisis #AMOCcollapse #ClimateSky https://www.science.org/doi/10.1126/sciadv.adk1189, Feb 10, 02:26 PM, GrrlScientist@mstdn.science",https://static.mstdn.science/media_attachments/files/111/906/461/315/914/378/original/aeb6b007ec47ed79.jpg,
"Kevin Beaumont, Gaza residents surviving off animal feed and rice as food dwindles https://www.bbc.co.uk/news/world-middle-east-68239320, Feb 10, 02:42 PM, GossiTheDog@cyberplace.social",,https://www.bbc.co.uk/news/world-middle-east-68239320
"Eugene McParland 🇺🇦, Beyond giving a platform for putin to repeat his lies on #Ukraine and #NATO, the tucker carlson interview also underscored the alignment of trump’s interests with the kremlin.By Samantha de Bendern, Associate Fellow, russia and Eurasia ProgrammeRead it here  https://www.chathamhouse.org/2024/02/putins-carlson-interview-shows-links-between-trump-talk-and-russian-messaging, Feb 10, 02:40 PM, EugeneMcParland@mastodon.ie",,
"Cats of Yore, “Just we two” Postcard from my collection. Copyright 1907, mailed 1909. This is by C.E. Bullard, my favorite of the Victorian/Edwardian cat photographers. He seemed to genuinely love cats and didn't restrain them or cram them into tiny costumes., Feb 10, 02:45 PM, CatsOfYore@varmint.town",https://sb-fzn88i6ay2.b-cdn.net/media_attachments/files/111/906/538/125/794/913/original/05ce6105d33a6f68.png,
"IceCubesApp, A whole new experience is coming soon for links and trending links!, Feb 10, 02:48 PM, IceCubesApp@mastodon.online",https://files.mastodon.online/media_attachments/files/111/906/555/903/956/652/original/3d6ef65555eb8c66.jpeg,
"Chris Hallbeck, My Pavlovian response is that I think about dogs whenever I hear the name “Pavlov”., Feb 10, 06:49 AM, Chrishallbeck",,
"the trouble with mia :baner:, The ever-brilliant Good Law Project double-daring the government to sue them on data-scraping.https://goodlawproject.org/update/the-letter-the-tories-didnt-want-us-to-publish-here-it-is/#UKPolitics, Feb 10, 03:44 PM, fkamiah17@toot.wales",,https://goodlawproject.org/update/the-letter-the-tories-didnt-want-us-to-publish-here-it-is/
"Glyn Moody, #Israel appears to be in breach of #ICJ orders on #Gaza, senior #UN official says - https://www.theguardian.com/world/2024/feb/10/israel-appears-to-be-in-breach-of-icj-orders-on-gaza-senior-un-official-says ""Special rapporteur cites lack of medical supplies, food and clean water, and continued demolition of infrastructure"" but nothing will happen.., Feb 10, 01:52 PM, glynmoody",,https://www.theguardian.com/world/2024/feb/10/israel-appears-to-be-in-breach-of-icj-orders-on-gaza-senior-un-official-says
"Bryan Culbertson, Car dependency is not freedom, it is isolationI just met a retired couple on the Coast Starlight. In their 50 years of marriage, this is their first travel adventure and they are so excited!They have been homebodies in Pasadena their whole lives due to persistent eyesight issues that they had thought, until recently, prevented them from travelingThey just discovered trains and audiobooks and are going to make this their life now!Public transit is the freedom car companies promised us, Feb 10, 06:08 AM, bryanculbertson",,
"Abdullah Nimer, Horrifying update!Body of 6-year-old Hind and Red Crescent crew found after 12 days.https://english.wafa.ps/Pages/Details/141504 #Genocide #EthnicCleansing #Palestine #Warcrimes #Gaza #WestBank, Feb 10, 03:10 PM, abdullah_nimer@mstdn.social",,
"Sherifa Zuhur, Sad news about the little Palestinian girl, Hind found dead after being trapped in car with dead relatives. The Israelis also shot dead ambulance workers dispatched to help her - the Israelis claimed they “didn’t know about” this incident. @palestine @israel https://www.cnn.com/2024/02/10/middleeast/hind-rajab-death-israel-gaza-intl/index.html, Feb 10, 03:55 PM, Sherifazuhur@sfba.social",,
"David de Groot 📸, Some more birds seen around the house today. Female King Parrot, Spangled Drongo, Variegated Fairywren and Willie Wagtail. #AustralianWildlife #WildOz #Bird, Feb 10, 11:36 AM, david@photog.social","https://cdn.masto.host/photog/media_attachments/files/111/905/780/163/714/256/original/0d0b9151a4773d58.jpg,https://cdn.masto.host/photog/media_attachments/files/111/905/780/187/126/909/original/c933881419d17173.jpg,https://cdn.masto.host/photog/media_attachments/files/111/905/780/238/316/965/original/e94fe686b541f897.jpg,https://cdn.masto.host/photog/media_attachments/files/111/905/780/310/325/898/original/dc7b4d2116f46fb3.jpg",
"Mandu 🥟, inventory check.... five units all present and accounted for#Caturday, Feb 10, 06:29 AM, yurnidiot@mstdn.social",,
"Athena, Taxing great #wealth to finance the ecological and social transition.  The European Citizens' Initiative, is a powerful tool for EU citizens to propose policy changes. Securing 1 million signatures prompts the Commission to review proposals. A notable initiative is a call for a pan-European #tax on the ultra-wealthy. It would be used to combat #climatechange and #inequality. It's a bold proposal worthy of support. I have already signed.https://citizens-initiative.europa.eu/initiatives/details/2023/000006_en, Feb 10, 12:47 PM, Climatehistories",https://files.mastodon.social/media_attachments/files/111/906/118/883/582/446/original/0dda3697ee6df415.png,
"Tuta, Anonymity sets you free by allowing you to express yourself without fear. It doesn't make you a criminal or a threat. At Tuta, we have made signing up for a secure #encrypted account fast, easy, and most importantly #anonymous.  https://tuta.com/blog/anonymous-email, Feb 10, 12:34 PM, Tutanota",https://files.mastodon.social/media_attachments/files/111/906/025/859/906/262/original/197dd764b2153df8.png,
"Mamath @ HOME,   Happy New Year!   It's finally the Year of the Wood Dragon so here is a Royal Poinciana Kirin inspired by the big poinciana tree I can see from my window.#ChineseNewYear #LunarNewYear #YearOfTheDragon #WoodDragon  #MastoArt #DigitalArt #Dragon #Kirin, Feb 10, 11:21 AM, mamath@mastodon.art",https://cdn.masto.host/mastodonart/media_attachments/files/111/905/731/974/240/793/original/fb47276b3f57e623.png,
"dm, Not entirely sure why anyone pays for chatGPT Plus. You don’t have to pay money to find unreliable nonsense online., Feb 10, 12:19 PM, _dm@infosec.exchange",,
"Star Trek Minus Context, It's the weekend, baby#StarTrek, Feb 10, 06:49 AM, nocontexttrek",https://files.mastodon.social/media_attachments/files/111/904/670/479/753/624/original/fdcb27a872961c02.jpg,
"Max Kennerly, ""We have millions of monkeys at typewriters. Surely one of them will produce the collected works of Shakespeare."", Feb 10, 09:45 AM, maxkennerly@mstdn.social",https://media.mstdn.social/media_attachments/files/111/905/357/706/843/198/original/3bee7501efb86a96.png,
"Brendan Jones, Another reason to not like Threads: they consider climate to be political, and won’t suggest content from any accounts talking about it. You can opt in to political suggested content, but how many will do that? https://www.axios.com/2024/02/09/meta-political-content-moderation-threads #climateChange #Threads, Feb 10, 03:26 PM, Brendanjones@fosstodon.org",,https://www.axios.com/2024/02/09/meta-political-content-moderation-threads
"Andy Balaam, The fediverse is working. I am now following (using Mastodon) a ""Learning Rust"" community on Lemmy [1], who I found through them commenting on my peertube video [2] using Lemmy.[1] @learningrustandlemmy [2] https://diode.zone/w/wJJJ7DRh3fCvHq6KuZY3t9#fediverse #rust #lemmy #peertube, Feb 10, 03:44 PM, andybalaam",,
"Iryna, Once cozy homes and fulfilled lives in Kharkiv are engulfed by the flames of russian terror. Yevhenii Khaustov, Feb 10, 02:40 PM, iryna@mstdn.social",https://media.mstdn.social/media_attachments/files/111/906/522/697/711/762/original/463d9a9e3cde246e.png,
"Al Jazeera English :press:, Israeli military kills 28 after Netanyahu signals Rafah invasion planAt least 10 children among the dead as fears of an Israeli ground assault intensify in southern Gaza. #presshttps://www.aljazeera.com/news/2024/2/10/israeli-military-kills-28-after-netanyahu-signals-rafah-invasion-plan?traffic_source=rss&utm_source=press.coop, Feb 10, 03:08 PM, AJEnglish@press.coop",,https://www.aljazeera.com/news/2024/2/10/israeli-military-kills-28-after-netanyahu-signals-rafah-invasion-plan?traffic_source=rss&utm_source=press.coop
"Dilman Dila, So finally, someone I know in real life has joined mastodon, @charliekob  Do give him a big welcome and a follow. He is a filmmaker, he has been making films since he was thirteen, which is strange for a person who grew up in Kampala. Well, this #followfriday do give him a follow as we await a proper #introduction post from him. And you can suggest to him filmmakers and other cool people that he can #follow ;-), Feb 10, 12:16 PM, dilmandila@mograph.social",,
"Madeleine Morris, So, I've been working on hatching a theoretical structure to address the quandary of MAGA for a long time. I think it is almost impossible to combat it unless one can identify grasp the causal factors of the eruption of a mass psychosis. This is going to be a really long thread and I'm developing it slowly. Please feel free to mute me if this irritates you - I'm thinking aloud here. And most of my ideas aren't original, I'm just sometimes gathering them together in novel ways. #musings, Feb 10, 03:03 PM, Remittancegirl@mstdn.social",,
"how to do anything, How to Know what Your Sexuality Is when You Can't Figure It Out, Feb 10, 03:18 PM, wikihow",https://files.mastodon.social/media_attachments/files/111/906/672/170/856/457/original/860d3044999d146e.png,
"Year Progress, ▓▓░░░░░░░░░░░░░ 11%, Feb 10, 12:00 PM, year_progress@techhub.social",,
"Ron Chusid :verified:, Free Julian Assange https://www.prospectmagazine.co.uk/politics/64791/enough-is-enoughits-time-to-set-julian-assange-free, Feb 10, 03:33 PM, rchusid@med-mastodon.com",,https://www.prospectmagazine.co.uk/politics/64791/enough-is-enoughits-time-to-set-julian-assange-free
"Tadzio Mueller, GuMo im #Klimakollaps.Heute: die atlantische Umwälzströmung #AMOC, die dafür sorgt, dass es in Rom *etwas* wärmer ist, als in Toronto (selbe Breite), könnte schon 2025 kollabieren, & bis 2035 ""ein neues Klima"" in Europa hervorbringen.What fun.https://www.theguardian.com/environment/2024/feb/09/atlantic-ocean-circulation-nearing-devastating-tipping-point-study-finds, Feb 10, 11:47 AM, muellertadzio@climatejustice.social",,https://www.theguardian.com/environment/2024/feb/09/atlantic-ocean-circulation-nearing-devastating-tipping-point-study-finds
"NOELREPORTS 🇪🇺 🇺🇦, An entire family died in Kharkiv as a result of a Russian night attack…The police reported that five bodies were found in one of the houses. Among the dead are children aged 4 and 7 and an infant. Two others also died during attacks on their private house., Feb 10, 01:32 PM, noelreports@mstdn.social",https://media.mstdn.social/media_attachments/files/111/906/255/210/082/506/original/cac2a04bd6b1c145.png,
"It's Going Down, Activists in #Atlanta have put a call out to support John Mazurek, who was recently arrested as part of an ongoing campaign of repression against the #StopCopCity movement. From Defend the Atlanta Forest: ""John ""Jack"" Mazurek was arrested in Atlanta, GA on February 8 and is being held without bond at Fulton County Jail, which is notorious for its poor conditions, overcrowding, and gross mistreatment of its inmates. They will be there for at least two more weeks until their preliminary hearing. They are still in the holding cell sleeping on the floor. This is unacceptable.Call in to the jail at (404) 613-2024 to demand they be:-Moved to general population-Fed nutritious vegan food-Given coffee"", Feb 10, 11:50 AM, igd_news@kolektiva.social",https://kolektiva.social/system/media_attachments/files/111/905/851/978/624/050/original/64969be9135c1bf7.jpg,
"Ailantd Sikowsky🔻, Did a totally improvised but totally accurate ""Touch Down"" thing!#scifi #scifiart, Feb 10, 11:11 AM, Ailantd@mastodon.art",https://cdn.masto.host/mastodonart/media_attachments/files/111/905/699/765/806/465/original/9acad00d752d4ae2.jpg,
"Adrianna Tan, Cookie had a fantastic day today #DogsOfMastodon #Dogs, Feb 10, 12:57 PM, skinnylatte@hachyderm.io",https://media.hachyderm.io/media_attachments/files/111/906/118/844/821/819/original/2c6a728c204f2a10.jpeg,
"jwz, A pox on RSS readers that don't understand that ""301 Moved PERMANENTLY"" means ""update your damned URL."", Feb 10, 10:32 AM, jwz",,
